ID Info,,ASIN,URL,title,title_short,date_released,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,Operating System,OS,Connectivity Technology,Wireless Communication Standard,GPS,Wireless communication technologies,Display technology,Other display features,Human Interface Input,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,battery_num,battery_capac,Battery Life,Physical Features,Style,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,Color,Product Dimensions,Item Weight,raw_wght_units,weight_in_oz,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,Customer Reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,Best Sellers Rank,,Special Feature,See More?
,5,B0CD7K9HRS,https://www.amazon.com/KEEPONFIT-Smartwatch-Waterproof-Fitness-Tracker/dp/B0CD7K9HRS/ref=zg_bs_g_5393958011_d_sccl_86/145-0980347-9463126?psc=1,"Smart Watch with Answer/Make Calls, Metal Frame 1.8"" Alexa Built-in Fitness Tracker with IP68 Waterproof/100+ Sports Modes/Heart Rate/SpO2/Stress/Sleep Monitor for Men/Women for iOS/Android",Smart_Watch_with_Answer/M,8/9/2023,,KEEPONFIT,KEEPONFIT,ID Sport01,ID Sport01,China,,,$39.99,$49.99,,,,Bluetooth,Bluetooth,,,,,,,,,,Lithium Ion,Lithium Ion,1,300 Milliamp Hours,,,Casual,Rectangular,1.8,in,1.8,,11.1 x 3.5 x 0.7 inches,0.1,kg,3.527,,4.3,"4.3
960 ratings
4.3 out of 5 stars",4.3,960 ratings,4.3 out of 5 stars,960,"#30,903 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#135 in Activity & Fitness Trackers",,"Activity Tracker, Alarm Clock, Daily Workout Memory, Phone Call, Notifications",FALSE
,45,,https://www.amazon.com/Fitbit-Inspire-Fitness-Tracker-Included/dp/B08DFGPTSK/ref=zg_bs_g_5393958011_d_sccl_22/145-0980347-9463126?psc=1,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Fitbit_Inspire_2_Health_&,,,Fitbit,,Inspire 2,,,,,$89.00,Check Page,,Android,,USB,Bluetooth,,,,,,6400,Mibyte,6.25,,Lithium Ion,,,,,,,Oval,0.72,in,0.72,,,,,,,4.4,,,,,#VALUE!,,,"Activity Tracker, Heart Rate Monitor, Calorie Tracker, Sleep Monitor, Water Resistant, Phone Call, Text Messaging, Calendaring, Notifications,",FALSE
,12,B0CC9DXVPF,https://www.amazon.com/Fitness-Activity-Pedometer-Calories-Waterproof/dp/B0CC9DXVPF/ref=zg_bs_g_5393958011_d_sccl_5/145-0980347-9463126?psc=1,"Fitness Tracker Watch with Heart Rate Monitor, Large Screen Activity Tracker with Pedometer, Sleep Monitor, Calories & Step Counter, 5ATM Waterproof Smart Watch for Women Men Fitness Watch for Sports",Fitness_Tracker_Watch_wit,7/19/2023,,LIVIKEY,LIVIKEY,,,China,,,$19.99,Check Page,,"Android, iOS, Bluetooth",,Bluetooth,Bluetooth,,,,,,,,,,Lithium Polymer,Lithium Ion,1,,,,Modern,Rectangular,1.3,in,1.3,Black,6.8 x 3.3 x 0.6 inches,0.08,kg,2.822,,4,"4.0
540 ratings
4.0 out of 5 stars",4,540 ratings,4.0 out of 5 stars,540,"#677 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#3 in Activity & Fitness Trackers",,"Activity Tracker, Sleep Monitor, Heart Rate Monitor, Pedometer, Calories Tracker, Time Display",FALSE
,24,B0CGX7VD4X,https://www.amazon.com/Xiaomi-Version-Fitness-Tracker-Monitoring/dp/B0CGX7VD4X/ref=zg_bs_g_5393958011_d_sccl_24/145-0980347-9463126?psc=1,"Xiaomi Mi Smart Band 8 (Global Version) Health & Fitness Tracker with 60Hz Refresh Rate 1.62"" AMOLED Display, 16-Day Battery Life, 150+ Sports Modes, Blood Oxygen, Heart Rate,Sleep & Stress Monitoring",Xiaomi_Mi_Smart_Band_8_(G,8/30/2023,,Xiaomi,,Xiaomi Smart Band 8,,,,,$41.50,$49.99,,,,Bluetooth,Bluetooth,,,,,,16,Gibyte,16,,Lithium Ion,,,,,,Modern,Rectangular,1.62,in,1.62,,,,,,,4.2,"4.2
420 ratings
4.2 out of 5 stars",4.2,420 ratings,4.2 out of 5 stars,420,"#57,625 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#204 in Activity & Fitness Trackers",,Adjustable,FALSE
,99,B0CGJ71V5F,https://www.amazon.com/Fitness-Tracker-Pressure-Activity-Waterproof/dp/B0CGJ71V5F/ref=zg_bs_g_5393958011_d_sccl_99/145-0980347-9463126?psc=1,"Fitness Tracker Answer/Make Calls, Smart Watch with Blood Pressure, Blood Oxygen, 24/7 Heart Rate Monitor, 120 Sport Mode Activity Tracker with Step Counter, Waterproof Sleep Tracker for Women Men",Fitness_Tracker_Answer/Ma,9/16/2023,,AviiHoug,,H23,,,,,$49.99,$79.99,,"Android, iOS",,Bluetooth,Bluetooth,,,,,,,,,,Lithium Ion,,,200 Milliamp Hours,,,,Rectangular,1.57,in,1.57,,,,,,,3.8,"3.8
923 ratings
3.8 out of 5 stars",3.8,923 ratings,3.8 out of 5 stars,923,"#64,062 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#220 in Activity & Fitness Trackers",,"Answer/make calls, 120+ Sport modes, BP, HR, SpO2 monitor",FALSE
,56,B0D7VYDNSS,https://www.amazon.com/Pressure-Pedometer-Waterproof-Activity-Compatible/dp/B0D7VYDNSS/ref=zg_bs_g_5393958011_d_sccl_38/145-0980347-9463126?psc=1,"Smart Watch, 1.47"" Health Fitness Tracker with 24/7 Heart Rate,Blood Pressure,Blood Oxygen Monitor,Sleep Tracker,Pedometer, IP68 Waterproof Activity Trackers Compatible with Android&iPhone Women Men","Smart_Watch,_1.47""_Health",7/15/2024,,FFFITNES,FFFITNES,,Band3,,,,$49.99,$79.99,,,,Wi-Fi,Bluetooth,GPS via Smartphone,,,,,64,Mibyte,0.0625,,Lithium Ion,Lithium Ion,1,200 Milliamp Hours,,,,Rectangular,1.47,in,1.47,,10.24 x 3.15 x 0.67 inches,90,g,3.175,,4.5,"4.5
196 ratings
4.5 out of 5 stars",4.5,196 ratings,4.5 out of 5 stars,196,"#1,077 in Electronics (See Top 100 in Electronics)
#9 in Activity & Fitness Trackers
#12 in Smartwatches",,"Blood Pressure Monitor, Calorie Consumption, Weather Forecast, Music/Camera Control, Activity Tracker, Calls and Messages Notification, step counter, Heart Rate Monitor, Sleep Tracker",FALSE
,69,B0CB1VJMZN,https://www.amazon.com/Fitness-Tracker-Pressure-Activity-Pedometer/dp/B0CB1VJMZN/ref=zg_bs_g_5393958011_d_sccl_5/145-0980347-9463126?psc=1,"Fitness Tracker with Heart Rate Monitor/Step Counter/Calories, Activity Tracker Smart Watch Sleep Monitor IP68 Health Tracker Pedometer for Man Women",Fitness_Tracker_with_Hear,7/3/2023,,BrilliantHouse,,,,,,,$19.99,$79.99,,"Android, iOS",,Bluetooth,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium,,,105 Milliamp Hours,,,,Rectangular,0.96,in,0.96,,,,,,,3.4,"3.4
1,342 ratings
3.4 out of 5 stars",3.4,"1,342 ratings",3.4 out of 5 stars,1342,"#5,658 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#43 in Activity & Fitness Trackers",,"Blood Pressure Monitor/Heart Rate Monitor/Blood Oxygen Monitor, Fitness Tracker/Activity Tracker/Distance Tracker/Female Health Assistant",FALSE
,48,B09VY6SCTC,https://www.amazon.com/Garmin-v%C3%ADvosmart%C2%AE-Fitness-Tracker-Long-Lasting/dp/B09VY6SCTC/ref=zg_bs_g_5393958011_d_sccl_29/145-0980347-9463126?psc=1,"Garmin vívosmart® 5, Fitness Tracker, Long-Lasting Battery, Simple Design, Black Large","Garmin_vívosmart®_5,_Fitn",4/20/2022,,,Garmin,,010-02645-04,,,,$149.99,Check Page,,"Android, iOS",,Bluetooth,Bluetooth,Built-in GPS,,,,,28,Mibyte,0.0273,,Lithium Polymer,Lithium Ion,1,4 Milliamp Hours,,,,Rectangular,0.84,in,0.84,,0.8 x 10 x 0.4 inches,26.5,g,0.935,,4,"4.0
360 ratings
4.0 out of 5 stars",4,360 ratings,4.0 out of 5 stars,360,"#5,343 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#28 in Electronics & Gadgets
#42 in Activity & Fitness Trackers",,Bluetooth,FALSE
,19,B0D8FVYRLY,https://www.amazon.com/%F0%9D%9F%90%F0%9D%9F%8E%F0%9D%9F%90%F0%9D%9F%92-Upgraded-Pressure-Activity-Trackers/dp/B0D8FVYRLY/ref=zg_bs_g_5393958011_d_sccl_27/145-0980347-9463126?psc=1,"𝟐𝟎𝟐𝟒 Upgraded Fitness Tracker (Answer/Make Calls), 1.47"" Smart Watch with 24/7 Heart Rate/Blood Pressure/Sleep Monitor, 100+ Sports Modes Activity Trackers, for Android and iPhone Women Men",𝟐𝟎𝟐𝟒_Upgraded_Fitness,6/29/2024,,Mingdaln,,M4,,,,,$39.99,Check Page,,,,Bluetooth,Bluetooth,,,,,,64,Mibyte,0.0625,,Lithium Ion,,,,,,Modern,Rectangular,1.47,in,1.47,,,,,,,4.4,"4.4
63 ratings
4.4 out of 5 stars",4.4,63 ratings,4.4 out of 5 stars,63,"#4,722 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#37 in Activity & Fitness Trackers",,"Bluetooth Calling, Activity Tracker, Alarm Clock, Heart Rate Monitor,Multi-Sports Tracking",FALSE
,47,B09YQYRHPB,https://www.amazon.com/FITVII-Fitness-Pressure-Waterproof-Activity/dp/B09YQYRHPB/ref=zg_bs_g_5393958011_d_sccl_28/145-0980347-9463126?psc=1,"FITVII Fitness Tracker, Smart Watch with 24/7 Blood Pressure Heart Rate and Blood Oxygen Monitor, Sleep Tracker with Calorie Step Counter, IP68 Waterproof Activity Tracker for Women Men Android iOS","FITVII_Fitness_Tracker,_S",4/25/2022,,FITVII,FITVII,H56 Fitness,H56,China,,,$44.92,Check Page,,"Android, iOS",,Bluetooth,Bluetooth,FALSE,,,,,,,,,Lithium Ion,Lithium Ion,1,,,,,Rectangular,1.69,in,1.69,,,1.12,ozm,1.12,,3.9,"3.9
5,521 ratings
3.9 out of 5 stars",3.9,"5,521 ratings",3.9 out of 5 stars,5521,"#5,062 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#39 in Activity & Fitness Trackers",,"Distance Tracker, Calorie Tracker, Notifications",FALSE
,84,B0CZ3WH53C,https://www.amazon.com/Jawploy-Fitness-Calories-Activity-Pedometer/dp/B0CZ3WH53C/ref=zg_bs_g_5393958011_d_sccl_30/145-0980347-9463126?psc=1,"Fitness Tracker with Heart Rate Monitor/Step Counter/Calories, Activity Tracker Smart Watch Sleep Monitor, IP68, Health Tracker Pedometer for Man Women",Fitness_Tracker_with_Hear,3/26/2024,,Jawploy,Jawploy,,S5,USA,,,$18.99,$19.98,,Android Wear/Wear OS or Tizen,,Bluetooth,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Ion,Unknown,1,105 Amp Hours,,,,Rectangular,0.96,in,0.96,,,23.04,g,0.813,,3.6,"3.6
258 ratings
3.6 out of 5 stars",3.6,258 ratings,3.6 out of 5 stars,258,"#10,497 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#63 in Activity & Fitness Trackers",,"Fitness Tracker/Activity Tracker/Distance Tracker/Sleep Monitor/Female Health Assistant, Blood Pressure Monitor/Heart Rate Monitor/Other Health Data Monitor/Step counter",FALSE
,18,B0BX797HJ4,https://www.amazon.com/Fitbit-Charge-Advanced-Fitness-Tracker/dp/B0BX797HJ4/ref=zg_bs_g_5393958011_d_sccl_26/145-0980347-9463126?psc=1,"Fitbit Charge 5 Advanced Fitness Tracker with GPS, Heart Rate, Sleep & Health Tracker - Power Bundle with Adapter (Graphite Stainless Steel)",Fitbit_Charge_5_Advanced_,11/30/2022,,Fitbit,Fitbit,"charge 5,pace",,,,,$149.01,$79.99,,"Android, iOS",,GPS,,Built-in GPS,,,,,,,,,,,,,,,Modern,Heart,50,mm,1.969,Graphite Stainless Steel,1.44 x 0.89 x 0.44 inches,5.3,ozm,5.3,,3.8,"3.8
351 ratings
3.8 out of 5 stars",3.8,351 ratings,3.8 out of 5 stars,351,"#10,773 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#64 in Activity & Fitness Trackers",,GPS,FALSE
,79,B0CV5ZG5TC,https://www.amazon.com/OnePlus-100-Hour-Tracking-Sapphire-Dual-Engine/dp/B0CV5ZG5TC/ref=zg_bs_g_5393958011_d_sccl_23/145-0980347-9463126?psc=1,"ONEPLUS Watch 2, 32GB, 100-Hour Battery, Health & Fitness Tracking, Sapphire Crystal Design, Dual-Engine, Wear OS by Google","ONEPLUS_Watch_2,_32GB,_10",2/26/2024,,,,,,,,,$288.98,Check Page,,Android,,"Bluetooth, Wi-Fi",Bluetooth,Built-in GPS,,,,,32,Gibyte,32,,Lithium Ion,,,500 Milliamp Hours,,,,Round,1.43,in,1.43,,,,,,,4.6,"4.6
132 ratings
4.6 out of 5 stars",4.6,132 ratings,4.6 out of 5 stars,132,"#30,958 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#136 in Activity & Fitness Trackers
#183 in Electronics & Gadgets",,GPS,FALSE
,57,B09BXQ4HMB,https://www.amazon.com/Fitbit-Advanced-Management-Tracking-Graphite/dp/B09BXQ4HMB/ref=zg_bs_g_5393958011_d_sccl_39/145-0980347-9463126?psc=1,"Fitbit Charge 5 Advanced Health & Fitness Tracker with Built-in GPS, Stress Management Tools, Sleep Tracking, 24/7 Heart Rate and More, Black/Graphite, One Size (S &L Bands Included)",Fitbit_Charge_5_Advanced_,8/26/2021,,Fitbit,Fitbit Inc,,FB421BKBK,,No,,$149.99,$79.99,,"Android, iOS",,GPS,Bluetooth,Built-in GPS,,,,,6400,Mibyte,6.25,,Lithium Ion,Lithium Ion,1,,,,,Heart,1.04,in,1.04,,1.45 x 0.9 x 0.44 inches,29,g,1.023,,4,"4.0
31,464 ratings
4.0 out of 5 stars",4,"31,464 ratings",4.0 out of 5 stars,31464,"#7,450 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#50 in Activity & Fitness Trackers",,"GPS, Stress Tracking, Heart Rate Monitor, Sleep Monitor, ECG, Distance Tracker, Touchscreen, Calorie Tracker, Daily Workout Memory",FALSE
,64,B0CD2MP728,https://www.amazon.com/Xiaomi-Smart-Band-Global-Version/dp/B0CD2MP728/ref=zg_bs_g_5393958011_d_sccl_48/145-0980347-9463126?psc=1,Xiaomi Smart Band 8 (Global Version),Xiaomi_Smart_Band_8_(Glob,9/11/2023,,Xiaomi,Xiaomi,,BHR7165GL,,No,,$39.00,$49.99,,Wear OS or Tizen,,Bluetooth,Bluetooth,FALSE,,,,,16,Mibyte,0.0156,,Lithium Ion,Lithium Polymer,1,,,,,Rectangular,1.62,in,1.62,,1.89 x 0.89 x 0.43 inches,58,g,2.046,,4.3,"4.3
8,876 ratings
4.3 out of 5 stars",4.3,"8,876 ratings",4.3 out of 5 stars,8876,"#6,083 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#35 in Electronics & Gadgets
#46 in Activity & Fitness Trackers",,Heart Rate Monitor,FALSE
,30,,https://www.amazon.com/Fitbit-Activity-Tracker-Minions-Special/dp/B08Y94Z9RM/ref=zg_bs_g_5393958011_d_sccl_8/145-0980347-9463126?psc=1,"Fitbit Ace 3 Activity-Tracker for Kids 6+, Minions Special Edition, Yellow, One Size",Fitbit_Ace_3_Activity-Tra,,,Fitbit,,Ace 3 Activity Tracker for Kids 6+,,,,,$73.99,$79.00,,,,,Bluetooth,,,,,,6400,Mibyte,6.25,,Lithium Ion,,,,,,Youthful,Rectangular,0.96,in,0.96,Yellow,,,,,,4.1,,,,,#VALUE!,,,"kids smart watch, sleep tracker, kids watch, pedometer",FALSE
,36,B0CSW7S8VH,https://www.amazon.com/VPSTAY-Waterproof-Pedometer-Activity-SmartWatches/dp/B0CSW7S8VH/ref=zg_bs_g_5393958011_d_sccl_6/145-0980347-9463126?psc=1,"Fitness Tracker Watch with 24/7 Heart Rate Sleep Blood Oxygen Monitor, IP68 Waterproof Smart Watch, Step Calorie Counter Pedometer Health Activity Trackers and SmartWatches for Men Women",Fitness_Tracker_Watch_wit,1/20/2024,,VPSTAY,,,,,,,$45.98,$63.97,,anyloop APP,,Bluetooth,,GPS via Smartphone,,,,,64,Mibyte,0.0625,,Lithium Polymer,,,185 Milliamp Hours,,,,Rectangular,1.47,in,1.47,,,,,,,4.1,"4.1
1,030 ratings
4.1 out of 5 stars",4.1,"1,030 ratings",4.1 out of 5 stars,1030,"#5,221 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#41 in Activity & Fitness Trackers",,"Lightweight, Heart Rate Sleep Blood Oxygen Monitor, Activity Tracker, Alarm Clock, Notifications",FALSE
,40,B09P9LWSZY,https://www.amazon.com/FITVII-Pressure-Tracking-Waterproof-Pedometer/dp/B09P9LWSZY/ref=zg_bs_g_5393958011_d_sccl_13/145-0980347-9463126?psc=1,"FITVII Slim Fitness Tracker with Blood Oxygen, Blood Pressure, 24/7 Heart Rate and Sleep Tracking, IP68 Waterproof Activity Trackers and Smart Watches with Step Tracker, Pedometer for Women",FITVII_Slim_Fitness_Track,12/28/2021,,FITVII,,,,,,,$49.99,$59.99,,Android,,Bluetooth,Bluetooth,GPS via Smartphone,,,,,130,Mibyte,0.127,,Lithium Ion,,,,,,,Oval,1.47,in,1.47,,,,,,,3.9,"3.9
4,428 ratings
3.9 out of 5 stars",3.9,"4,428 ratings",3.9 out of 5 stars,4428,"#2,485 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#17 in Activity & Fitness Trackers",,"Multisport Tracker, Sedentary Reminder, Activity Tracker, Daily Workout Memory, Notifications",FALSE
,17,B09J8S3S5Q,https://www.amazon.com/GRV-Bluetooth-Required-Waterproof-Pedometer/dp/B09J8S3S5Q/ref=zg_bs_g_5393958011_d_sccl_24/145-0980347-9463126?psc=1,GRV Fitness Tracker Non Bluetooth Fitness Watch No App No Phone Required Waterproof Pedometer Watch with Steps Calories Counter Sleep Tracker for Men Women Parents,GRV_Fitness_Tracker_Non_B,10/12/2021,,GRV,,S1,,,,,$23.89,Check Page,,,,"Bluetooth, USB",,,,,,,32,Mibyte,0.0313,,Lithium Polymer,,,,,,Modern,Rectangular,0.96,in,0.96,Black,,,,,,3.6,"3.6
3,078 ratings
3.6 out of 5 stars",3.6,"3,078 ratings",3.6 out of 5 stars,3078,"#4,417 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#32 in Activity & Fitness Trackers",,Pedometer,FALSE
,72,B09QHRJH86,https://www.amazon.com/Fitness-Tracker-Waterproof-Monitor-Calorie/dp/B09QHRJH86/ref=zg_bs_g_5393958011_d_sccl_11/145-0980347-9463126?psc=1,"Kids Fitness Tracker Watch for Boys Girls Age 5-16, Waterproof Fitness Watch with Sleep Tracking, Calorie Counter, 11 Sport Modes Tracker and More - Kids Watch with Replaceable Band",Kids_Fitness_Tracker_Watc,1/15/2022,,DIGEEHOT,,,,,,,$29.99,Check Page,,,,Bluetooth,Bluetooth,FALSE,,,,,64,Mibyte,0.0625,,Lithium Polymer,,,105 Milliamp Hours,,,,Rectangular,0.96,in,0.96,,,,,,,3.8,"3.8
796 ratings
3.8 out of 5 stars",3.8,796 ratings,3.8 out of 5 stars,796,"#43,169 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#166 in Activity & Fitness Trackers",,Pedometer,FALSE
,38,,https://www.amazon.com/FITVII-Pressure-Tracking-Waterproof-Activity/dp/B0CWRJK78S/ref=zg_bs_g_5393958011_d_sccl_10/145-0980347-9463126?psc=1,"FITVII Health & Fitness Tracker 2024 (Answer/Make Calls), Smart Watch with 24/7 Heart Rate and Blood Pressure, Sleep Tracking, Blood Oxygen Monitor, 120+ Sport Mode Waterproof Activity Tracker",FITVII_Health_&_Fitness_T,,,FITVII,,HM57,,,,,$49.99,$79.99,,"Android, iOS",,Bluetooth,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Ion,,,,,,,Rectangular,1.85,in,1.85,,,,,,,4,,,,,#VALUE!,,,"Sedentary Reminder, Pedometer",FALSE
,25,B09WRPJTP5,https://www.amazon.com/Bluetooth-Required-Cloudpoem-Pedometer-Waterproof/dp/B09WRPJTP5/ref=zg_bs_g_5393958011_d_sccl_97/145-0980347-9463126?psc=1,"Fitness Tracker No Bluetooth No APP/Phone Required, Fitness Watch Pedometer Waterproof for Men Women Parents",Fitness_Tracker_No_Blueto,6/23/2022,,Cloudpoem,,S2,,,,,$33.99,Check Page,,,,Bluetooth,Bluetooth,FALSE,,,,,,,,,Lithium Ion,,,,,,Modern,Rectangular,1.47,in,1.47,,,,,,,3.7,"3.7
457 ratings
3.7 out of 5 stars",3.7,457 ratings,3.7 out of 5 stars,457,"#19,287 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#100 in Activity & Fitness Trackers",,Sleep Monitor,FALSE
,1,B0CMT889M8,https://www.amazon.com/Pro-Fit-VeryFitPro-Fitness-Waterproof-Activity/dp/B07HLJ3GJD/ref=zg_bs_g_5393958011_d_sccl_83/145-0980347-9463126?psc=1,OCTANDRA Active 2 VeryFit Fitness Tracker Heart Rate SpO2 Blood Oxygen Saturation Sleep Monitor Step Counter Pedometer IP68 Waterproof Activity Running Smart Watches for Men Women (ID155) (Pink),OCTANDRA_Active_2_VeryFit,11/7/2023,,OCTANDRA,OCTANDRA,OCTANDRA ACTIVE 2,ID155,China,,,$34.95,Check Page,,,,Bluetooth,,FALSE,,,,,,,,,Lithium Ion,Lithium Ion,1,1.1E+2 Milliamp Hours,,,ACTIVE 2,Rectangular,1.05,in,1.05,,6.77 x 3.46 x 0.75 inches,2.11,ozm,2.11,,4.2,"4.2
2,628 ratings
4.2 out of 5 stars",4.2,"2,628 ratings",4.2 out of 5 stars,2628,"#35,277 in Electronics (See Top 100 in Electronics)
#856 in Smartwatches",,"Sleep Monitor, Step Counter, Heart Rate Monitor, Spo2 Blood Oxygen Saturation Monitor, Stress Tracker, 1.05-Inch Full Touch Color Screen, Weather Forecast, Personalized Watch Faces",FALSE
,74,,https://www.amazon.com/Fitbit-Fitness-Smartwatch-Battery-Included/dp/B08DFPV5Y2/ref=zg_bs_g_5393958011_d_sccl_16/145-0980347-9463126?psc=1,"Fitbit Versa 3 Health & Fitness Smartwatch with GPS, 24/7 Heart Rate, Alexa Built-in, 6+ Days Battery, Black/Black, One Size (S & L Bands Included)",Fitbit_Versa_3_Health_&_F,,,Fitbit,,,,,,,$188.00,Check Page,,Android,,GPS,Bluetooth,Built-in GPS,,,,,4,Gibyte,4,,Lithium Ion,,,,,,,Square,1.58,in,1.58,,,,,,,4.2,,,,,#VALUE!,,,"Time Display, Alarm Clock, GPS, Notifications, Email, Heart Rate Monitor, Text Messaging, Music Player, Sleep Monitor",FALSE
,20,B0DB6W21RT,https://www.amazon.com/Fitness-Tracker-Activity-Tracking-Waterproof/dp/B0DB6W21RT/ref=zg_bs_g_5393958011_d_sccl_43/145-0980347-9463126?psc=1,"Fitness Tracker with Heart Rate, Step Counter, Sleep Monitor, Calorie Tracking, Activity Tracker with 1.1"" AMOLED Touch Color Screen, Waterproof Step Tracker for Android iPhones Women Men Kids",Fitness_Tracker_with_Hear,7/26/2024,,Moremore,,fitness tracker,,,,,$28.99,$49.99,,,,Bluetooth,Bluetooth,,,,,,,,,,Lithium Ion,,,,,,Modern,,1.1,in,1.1,Black,,,,,,4.5,"4.5
50 ratings
4.5 out of 5 stars",4.5,50 ratings,4.5 out of 5 stars,50,"#4,035 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#29 in Activity & Fitness Trackers",,"Time Display, Lightweight, Sedentary Reminder, Text Messaging, Alarm Clock",FALSE
,15,,https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/dp/B084CQ41M2/ref=zg_bs_g_5393958011_d_sccl_16/145-0980347-9463126?psc=1,"Fitbit Charge 4 Fitness and Activity Tracker with Built-in GPS, Heart Rate, Sleep & Swim Tracking, Black/Black, One Size (S &L Bands Included)",Fitbit_Charge_4_Fitness_a,,,Fitbit,,,,,,,$125.99,$149.95,,Android,,"Bluetooth, GPS",Bluetooth,Built-in GPS,,,,,,,,,Lithium Ion,,,,,,Modern,Rectangular,1.5,in,1.5,,,,,,,4.2,,,,,#VALUE!,,,"Time Display, Sleep Monitor, Activity Tracker, GPS, Heart Rate Monitor",FALSE
,42,B0D4L5LBWQ,https://www.amazon.com/FITVII-Fitness-Tracker-Pressure-Activity/dp/B0D4L5LBWQ/ref=zg_bs_g_5393958011_d_sccl_17/145-0980347-9463126?psc=1,"FITVII Nexa Fitness Tracker Answer/Make Calls, Smart Watch with Blood Pressure, Blood Oxygen, 24/7 Heart Rate Monitor, 120+ Sport Mode Activity Tracker with Step Counter, Sleep Tracker for Women Men",FITVII_Nexa_Fitness_Track,5/20/2024,,FITVII,,Nexa,,,,,$49.99,Check Page,,/,,Bluetooth,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Ion,,,,,,,Rectangular,1.57,in,1.57,,,,,,,4.1,"4.1
277 ratings
4.1 out of 5 stars",4.1,277 ratings,4.1 out of 5 stars,277,"#2,014 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#13 in Activity & Fitness Trackers
#13 in Electronics & Gadgets",,"Voice Call, Weather Forecast, Activity Tracker, Daily Workout Memory, Notifications",FALSE
,100,B0D16YBL7C,https://www.amazon.com/anyloop-Waterproof-Activity-Pedometer-Compatible/dp/B0D16YBL7C/ref=zg_bs_g_5393958011_d_sccl_100/145-0980347-9463126?psc=1,"Fitness Tracker Watch with Heart Rate Blood Oxygen Sleep Monitor, IP68 Waterproof Smart Watches, Step Calorie Counter Activity Trackers and Smartwatches for Women Men",Fitness_Tracker_Watch_wit,4/9/2024,,anyloop,anyloop,,,,,,$46.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,1.44,in,1.44,Dark Black,,24.95,g,0.88,,4.4,"4.4
209 ratings
4.4 out of 5 stars",4.4,209 ratings,4.4 out of 5 stars,209,"#38,575 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#161 in Activity & Fitness Trackers",,,FALSE
,67,B0CHF5ZD2N,https://www.amazon.com/Ultrahuman-AIR-Smart-Health-Tracker-Fitness/dp/B0CHF5ZD2N/ref=zg_bs_g_5393958011_d_sccl_2/145-0980347-9463126?psc=1,"Ring AIR - Kein App-Abonnement - Smart Ring - Size First mit Größenkit - Verfolgen Sie Schlaf, Workouts, Herzfrequenz, HRV - Bis zu 6 Tage Akkulaufzeit",Ring_AIR_-_Kein_App-Abonn,9/25/2023,,ULTRAHUMAN,Ultrahuman Healthcare Pvt Ltd,,,,,,$349.00,Check Page,,,,,,,,,,,,,,,Lithium Ion,Lithium Ion,,,6 days,,,,,,,Space Silver,,2.86,g,0.101,,3,"3.0
16 ratings
3.0 out of 5 stars",3,16 ratings,3.0 out of 5 stars,16,"#145,525 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#396 in Activity & Fitness Trackers
#1,000 in Electronics & Gadgets",,,FALSE
